generation,maximum fitness,mean fitness,quality diversity score,coverage,function calls,max_err,mse,mae
0,0.1399643537850324,0.09355327666235906,1.0290860432859497,7.333333333333333,26,nan,nan,nan
1,0.18758453455266458,0.07366092325879348,2.430810467540185,22.0,58,0.08882521654385041,0.002997965757555586,0.048472111303487
2,0.18758453455266458,0.07464244241357297,2.9110552541293457,26.0,93,0.09862308692278164,0.0018270397884407037,0.03473029425918994
3,0.18758453455266458,0.0758444830725575,3.1096238059748575,27.333333333333332,125,0.060280115540181846,0.0011751264151757068,0.028127932111224673
4,0.19062925151027518,0.07927738578248544,3.3296502028643884,28.000000000000004,156,0.0936787019352163,0.0012446818974356827,0.02813216313042783
5,0.19062925151027518,0.08372105854048703,3.8511686928624034,30.666666666666664,192,0.08887600310772671,0.002263532365600151,0.038122148008526514
6,0.19062925151027518,0.08793216582975304,4.132811793998393,31.333333333333336,226,0.11737420564523618,0.0017599148673367565,0.03298042037756662
7,0.19062925151027518,0.09339969583744585,4.483185400197401,32.0,264,0.08072958361620511,0.0011677799741762953,0.027050319112425586
8,0.19062925151027518,0.09933540609915578,4.867434898858633,32.666666666666664,299,0.07135998811803718,0.001195089470642356,0.02925858068243246
9,0.19062925151027518,0.09945294260125462,4.873194187461476,32.666666666666664,329,0.06980473222186973,0.0012182834924514949,0.0287085784259418
10,0.19062925151027518,0.10333083845902669,5.269872761410361,34.0,368,0.08410031031187602,0.0012073260034913865,0.027090823588224015
11,0.20992340493228723,0.10776340826842161,5.495933821689502,34.0,403,0.11639377835608417,0.0018384710485874645,0.03383275113817665
12,0.20992340493228723,0.10754926920232566,5.592561998520934,34.66666666666667,441,0.0965584223029455,0.0014576285203107104,0.0302955790982133
13,0.20992340493228723,0.10971882866231573,5.7053790904404185,34.66666666666667,476,0.08803699499806986,0.0013967321931145805,0.02984486806185202
14,0.20992340493228723,0.11195649014151786,6.0456504676419645,36.0,516,0.08895279265445427,0.0010089221654485587,0.02575509542588362
15,0.20992340493228723,0.11813439532319539,6.497391742775746,36.666666666666664,553,0.11424242390998222,0.002059398555293925,0.037432497640853504
16,0.20992340493228723,0.11947092688366108,6.570900978601359,36.666666666666664,586,0.09104700481350544,0.0016024377483059892,0.034176078795552685
17,0.21725451079491467,0.12110718502652029,6.903109546511657,38.0,624,0.07469919489548088,0.0013662027441793925,0.030380781036254915
18,0.21725451079491467,0.11960665272408058,7.1763991634448345,40.0,671,0.12859281376892578,0.001684641095432714,0.029695294415780123
19,0.21725451079491467,0.11834427367877681,7.337344968084162,41.333333333333336,715,0.08272041673781207,0.001503057215389733,0.03392479617449589
20,0.21725451079491467,0.11893868014955136,7.493136849421735,42.0,751,0.07722628317886295,0.0015127175869181619,0.033420469300198284
21,0.24055173869127222,0.11872751169852325,7.717288260404011,43.333333333333336,792,0.11275953831961535,0.0020837798351210583,0.03786199419416499
22,0.24055173869127222,0.11974554217434041,7.7834602413321266,43.333333333333336,831,0.07486486036844693,0.001361397460229526,0.031046882014569406
23,0.24055173869127222,0.12297623108317679,8.116431251489669,44.0,872,0.09429359593625865,0.001630794056543434,0.033458894403341585
24,0.24055173869127222,0.12463196684783096,8.350341778804674,44.666666666666664,911,0.11234116709364982,0.0015446380243497855,0.030682397773701863
25,0.2565464682224011,0.1258465493798355,8.431718808448979,44.666666666666664,953,0.11322845697713718,0.0017924490946816087,0.0332399754004029
26,0.2565464682224011,0.12746214465813518,8.667425836753193,45.33333333333333,996,0.08701256323369491,0.0015486745342089098,0.03195770894894749
27,0.2565464682224011,0.1313625948782005,8.932656451717635,45.33333333333333,1041,0.08638288966971042,0.0012965870855937546,0.028104043699697642
28,0.2565464682224011,0.13500147522144604,9.180100315058331,45.33333333333333,1092,0.11841608804347384,0.0017070937050244653,0.03368603235785586
29,0.2565464682224011,0.13103906983939553,9.303773958597082,47.333333333333336,1132,0.09551474847649628,0.0011080104514751003,0.026857146927553543
30,0.2565464682224011,0.13185111139867153,9.49328002070435,48.0,1173,0.11770418540305375,0.0019876899866309453,0.037247753334453425
31,0.2565464682224011,0.13298874673138633,9.575189764659816,48.0,1216,0.08868906731847492,0.0015580825271184048,0.03373762507352687
32,0.2565464682224011,0.13472120817699623,9.834648196920725,48.66666666666667,1260,0.08516854272716465,0.001731563632185705,0.034456848623916854
33,0.2565464682224011,0.13470537381082043,9.968197662000712,49.333333333333336,1307,0.07720363533541998,0.0013790946325881427,0.03141918368571976
34,0.2565464682224011,0.13642038614981858,10.095108575086575,49.333333333333336,1355,0.07303356757271293,0.0010531730763552974,0.027194093922225233
35,0.2565464682224011,0.1389234221839249,10.280333241610442,49.333333333333336,1400,0.11555385932138233,0.0018015407983669731,0.03358509798906518
36,0.2565464682224011,0.13837366359838957,10.516398433477608,50.66666666666667,1452,0.1279449726421383,0.0016157920769691045,0.030002556419691708
37,0.2565464682224011,0.14010329770782765,10.787953923502728,51.33333333333333,1500,0.0848575462342227,0.001348603055448089,0.02952141397091095
