acquisition_value,descriptor,fitness,niche_index,pedigree,predicted_fitness,predicted_uncertainty,smiles
0.06199956116370613,"[0.2791706748727272, 0.5943500000000003, 0.6287142857142858, 0.512697777777778]",0.02820154017338789,2,"('crossover', 'COc1ccc(CNC(O)c2cc(CC3SC(=O)NC3=O)ccc2OC)cc1', 'COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)Nc1ccc(O)c(C(C)OC)c1')",0.06199956116370613,0.0006957555469456946,COc1ccc(O)cc1C(=O)Nc1ccc(O)c(C(C)OC)c1
0.07723932972422129,"[0.6574078459999999, 0.5488000000000001, 0.6067142857142857, 0.48724666666666694]",0.03506697965743042,3,"('crossover', 'COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)N(Br)Cc1ccc(OC(F)(F)F)cc1', 'COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NCc1ccc(OC(F)(F)F)cc1')",0.07723932972422129,0.0002531520518097213,COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)N(Br)OC(F)(F)F
0.05703528148850759,"[0.8453375215636363, 0.6008333333333336, 0.6726428571428572, 0.6077800000000002]",0.04137377130656849,10,"('crossover', 'COc1ccc(CC2SC(OF)NC2=O)cc1C(=O)NCc1ccc(OC(F)F)cc1', 'COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)N(Br)COC(F)(F)F')",0.05703528148850759,0.000457770704879771,COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)N(Br)COC(F)(F)OC(F)F
0.049852102796923065,"[0.2701910380727273, 0.4472500000000001, 0.44142857142857145, 0.565066666666667]",0.03260569436280467,13,"('crossover', 'Cc1cc(CC2SC(=O)NC2=O)cc(C)c1N(C)c1ccc(O)c(C(C)C)c1', 'COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NCc1ccc(N(C)C)cc1')",0.049852102796923065,0.0009283826010750984,COc1ccc(CO)cc1C(=O)NCc1ccc(N(C)C)cc1
0.11693832472267017,"[0.5820610812121211, 0.9716533333333341, 0.5402142857142856, 0.7955944444444449]",0.16549920599824355,14,"('mutation', '[#6:1]>>[#17:1]', 'C=CC(C)c1cc(Oc2c(C)ccc(CC3SC(=O)NC3=O)c2C)ccc1O')",0.11693832472267017,0.0004904628116460438,C=CC(C)c1cc(Oc2c(Cl)ccc(CC3SC(=O)NC3=O)c2C)ccc1O
0.05330145350641676,"[0.3064029668606061, 0.9155333333333339, 0.27635714285714286, 0.44058666666666696]",0.04957719736459204,16,"('crossover', 'COc1ccc2nc(COc3ccc(OC(F)(F)F)cc3)n(C)c2c1', 'Cc1cc(CC2SC(=O)NC2=O)cc(C)c1N(C)c1ccc(O)c(C(C)C)c1')",0.05330145350641676,0.00032753578479404377,CC(C)c1cc(COc2ccc(OC(F)(F)F)cc2)ccc1O
0.07971756266482272,"[0.9302773920363637, 0.8233666666666672, 0.6067142857142857, 0.8171244444444447]",0.12539489983823182,18,"('mutation', '[*;!H0;!R:1]>>[*:1]-Br', 'COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NCc1ccc(OC(F)(F)F)cc1')",0.07971756266482272,0.0008041124771593083,COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)N(Br)Cc1ccc(OC(F)(F)F)cc1
0.0774428470335243,"[0.6215753255272727, 0.6257666666666669, 0.8140000000000001, 0.812218888888889]",0.12741652862067598,21,"('crossover', 'COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)N(Br)Cc1ccc(OC(F)(F)F)cc1', 'COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)Nc1ccc(O)c(C(C)C)c1')",0.0774428470335243,0.00024119695175523091,COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)Nc1ccc(O)c(C(C)OC)c1
0.06422484322085718,"[0.25776467438787865, 0.27094999999999997, 0.8266428571428571, 0.41005555555555573]",0.04953966076179106,24,"('crossover', 'C=CC(C)c1cc(Oc2c(C)ccc(CC3SC(=O)NC3=O)c2C)ccc1O', 'CC(C)c1cc(NC(=O)CC2SC(=O)NC2=O)ccc1O')",0.06422484322085718,0.0005013765507645874,CC(O)c1cc(NC(=O)CC2SC(=O)NC2=O)ccc1O
0.05417591690715772,"[0.5817061157696969, 0.34593333333333326, 0.8489285714285714, 0.5397066666666671]",0.030667375736338192,27,"('crossover', 'Cc1cc(Oc2cc(-c3ccc([N+](=O)[O-])cc3)on2)ccc1O', 'COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)N(Br)Cc1ccc(OC(F)(F)F)cc1')",0.05417591690715772,0.00044032577448429883,COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)N(Br)C[N+](=O)[O-]
