acquisition_value,descriptor,fitness,niche_index,pedigree,predicted_fitness,predicted_uncertainty,smiles
,"[0.56389264532, 0.9354766666666676, 0.3963571428571429, 0.6728644444444447]",0.39473684210526316,108,"('database', 'no reaction', 'database')",,,Cc1c(C)c2c(c(C)c1O)CCC(C)(c1cc(-c3ccccc3)on1)O2
,"[0.7172816876, 0.7051066666666673, 0.7187857142857144, 0.7610933333333337]",0.36065573770491804,14,"('database', 'no reaction', 'database')",,,Cc1c(C)c2c(c(-c3cn(Cc4ccc(O)c(O)c4)nn3)c1O)CCC(C)(C)O2
,"[0.8971364240533334, 0.8212366666666674, 0.6699285714285713, 0.9289633333333337]",0.3484848484848485,18,"('database', 'no reaction', 'database')",,,CON=C(CCc1nc(-c2ccccc2)oc1C)c1ccc(CC2SC(=O)NC2=O)cc1
,"[0.8202359968533331, 0.8035200000000007, 0.6376428571428572, 0.8029800000000002]",0.352,18,"('database', 'no reaction', 'database')",,,Cc1oc(-c2cccs2)nc1CCC(=O)c1ccc(CC2SC(=O)NC2=O)cc1
,"[0.8003812603999999, 0.7932700000000006, 0.6376428571428571, 0.826568888888889]",0.34375,18,"('database', 'no reaction', 'database')",,,Cc1ccc(-c2nc(CCC(=O)c3ccc(CC4SC(=O)NC4=O)cc3)co2)cc1
,"[0.8003812604000001, 0.7932700000000005, 0.6376428571428572, 0.8265688888888894]",0.34375,18,"('database', 'no reaction', 'database')",,,Cc1oc(-c2ccccc2)nc1CCC(=O)c1ccc(CC2SC(=O)NC2=O)cc1
,"[0.7138429060133332, 0.9571400000000009, 0.7045, 0.7577355555555559]",0.36065573770491804,18,"('database', 'no reaction', 'database')",,,Cc1c(C)c2c(c(-c3cc(-c4ccc([N+](=O)[O-])cc4)on3)c1O)CCC(C)(C)O2
,"[0.8337328580799998, 0.48941666666666667, 0.7354285714285714, 0.803687777777778]",0.3492063492063492,78,"('database', 'no reaction', 'database')",,,COc1ccc(CNC(=O)c2cc(CC3SC(=O)NC3=O)ccc2OC)cc1OC
,"[0.6803812604000001, 0.5379533333333335, 0.6035714285714285, 0.7107211111111112]",0.36134453781512604,80,"('database', 'no reaction', 'database')",,,COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NCc1ccc(C)cc1
,"[0.7236987569600001, 0.5758333333333335, 0.5889285714285716, 0.740685555555556]",0.4188034188034188,80,"('database', 'no reaction', 'database')",,,COc1ccc2nc(COc3ccc(CC4SC(=O)NC4=O)cc3)n(C)c2c1
,"[0.17701731113333333, 0.28174999999999994, 0.3957142857142857, 0.250796666666667]",0.35353535353535354,125,"('database', 'no reaction', 'database')",,,CCOc1ccc(CC2CC(=O)NC2=O)cc1
,"[0.7672805731066664, 0.8375100000000008, 0.6202857142857144, 0.7939644444444448]",0.37398373983739835,18,"('database', 'no reaction', 'database')",,,COc1ccc(-c2nnc(C3(C)CCc4c(C)c(O)c(C)c(C)c4O3)o2)cc1OC
,"[0.8606590460666667, 0.9957733333333344, 0.49742857142857144, 0.960705555555556]",0.3790322580645161,135,"('database', 'no reaction', 'database')",,,Cc1cc(CC2SC(=O)NC2=O)cc(C)c1N(CC1CC1)c1ccc(O)c(C(C)C)c1
,"[0.80369875696, 0.6456866666666669, 0.7235714285714286, 0.8101100000000004]",0.34375,78,"('database', 'no reaction', 'database')",,,Cc1oc(-c2ccccc2)nc1CNC(=O)c1ccc(CC2SC(=O)NC2=O)cc1
,"[0.7142067610933331, 0.8426933333333341, 0.17814285714285716, 0.8838666666666674]",0.35772357723577236,71,"('database', 'no reaction', 'database')",,,COc1ccc(CN2CCN(c3c(C)c(C)c4c(c3C)CC(C)(C)O4)CC2)cc1
,"[0.4937702457999999, 0.5928733333333336, 0.5427857142857143, 0.5473233333333335]",0.4074074074074074,83,"('database', 'no reaction', 'database')",,,COc1ccc(CC2COc3c(C)c(O)c(C)c(O)c3C2=O)cc1
,"[0.9703075425733332, 0.6274700000000003, 0.7827142857142858, 0.8932500000000004]",0.3435114503816794,78,"('database', 'no reaction', 'database')",,,Cc1oc(-c2ccccc2)nc1CN(C)S(=O)(=O)c1ccc(CC2SC(=O)NC2=O)cc1
,"[0.7305014309333332, 0.9348233333333341, 0.5402142857142858, 0.793605555555556]",0.35833333333333334,14,"('database', 'no reaction', 'database')",,,Cc1ccc(CC2CC(=O)NC(=O)S2)c(C)c1Oc1ccc(O)c(C(C)C)c1
,"[0.7704175905066667, 0.6712000000000004, 0.6047857142857143, 0.8050522222222226]",0.3492063492063492,78,"('database', 'no reaction', 'database')",,,CN(CCOc1ccc(CCC2SC(=O)NC2=O)cc1)c1nc2ccccc2o1
,"[0.49714983325333323, 0.7975933333333342, 0.3962857142857143, 0.6292577777777781]",0.3669724770642202,108,"('database', 'no reaction', 'database')",,,Cc1c(C)c2c(c(C)c1N)CC(C)(CSc1ccc(O)cc1)O2
,"[0.6172090273866666, 0.923373333333334, 0.5408571428571429, 0.702295555555556]",0.3644067796610169,14,"('database', 'no reaction', 'database')",,,Cc1c(C)c2c(c(-c3cc(-c4ccc(O)cc4)no3)c1O)CCC(C)(C)O2
,"[0.4439473086933331, 0.8432600000000007, 0.2517857142857143, 0.5835933333333337]",0.3925233644859813,108,"('database', 'no reaction', 'database')",,,Cc1c(C)c2c(c(C)c1N)CC(C)(CCc1ccc(F)cc1)O2
,"[0.6172090273866666, 0.923373333333334, 0.5408571428571429, 0.702295555555556]",0.3644067796610169,14,"('database', 'no reaction', 'database')",,,Cc1c(C)c2c(c(-c3cc(-c4ccc(O)cc4)on3)c1O)CCC(C)(C)O2
,"[0.8403812603999997, 0.9315900000000005, 0.6095714285714285, 0.878385555555556]",0.35658914728682173,18,"('database', 'no reaction', 'database')",,,Cc1ccccc1-c1nc(Cc2cc3cc(CC4SC(=O)NC4=O)ccc3o2)c(C)o1
0.3643242539431009,"[0.4140502604533333, 0.5681266666666669, 0.17814285714285716, 0.5539888888888894]",0.226890756302521,4,"('crossover', 'COc1ccc(CN2CCN(c3c(C)c(C)c4c(c3C)CC(C)(C)O4)CC2)cc1', 'COc1ccc(CN2CCN(c3c(C)c(C)c4c(c3C)CC(C)(C)O4)CC2)cc1')",0.3643242539431009,0.00028812658363697044,CON1CCN(c2c(C)c(C)c3c(c2C)CC(C)(C)O3)CC1
0.36939138299512697,"[0.08357964404000001, 0.20421666666666663, 0.3957142857142857, 0.15001888888888912]",0.2549019607843137,7,"('crossover', 'COc1ccc(CN2CCN(c3c(C)c(C)c4c(c3C)CC(C)(C)O4)CC2)cc1', 'CCOc1ccc(CC2CC(=O)NC2=O)cc1')",0.36939138299512697,0.0003359171643165174,COc1ccc(C2CC(=O)NC2=O)cc1
0.3742120358639287,"[0.7139641910399998, 0.8874800000000008, 0.554357142857143, 0.7737977777777781]",0.38333333333333336,14,"('crossover', 'Cc1c(C)c2c(c(-c3cc(-c4ccc(O)cc4)no3)c1O)CCC(C)(C)O2', 'COc1ccc(-c2nnc(C3(C)CCc4c(C)c(O)c(C)c(C)c4O3)o2)cc1OC')",0.3742120358639287,0.00014805658414532833,COc1ccc(-c2nnc(C3(C)CCc4c(C)c(O)c(C)c(C)c4O3)o2)cc1C
0.39605058800116155,"[0.8472431285066665, 0.856040000000001, 0.6087142857142857, 0.889256666666667]",0.375,18,"('crossover', 'COc1ccc(CC2COc3c(C)c(O)c(C)c(O)c3C2=O)cc1', 'COc1ccc(CC2COc3c(C)c(O)c(C)c(O)c3C2=O)cc1')",0.39605058800116155,0.0001490305913247751,COc1ccc(COc2ccc(CC3COc4c(C)c(O)c(C)c(O)c4C3=O)cc2)cc1
0.36982028718305043,"[0.8238552576000001, 0.5168166666666668, 0.5079285714285715, 0.839285555555556]",0.36220472440944884,28,"('crossover', 'COc1ccc(CN2CCN(c3c(C)c(C)c4c(c3C)CC(C)(C)O4)CC2)cc1', 'COc1ccc2nc(COc3ccc(CC4SC(=O)NC4=O)cc3)n(C)c2c1')",0.36982028718305043,0.00026458641272527413,COc1ccc(CN2CCN(Oc3ccc(CC4SC(=O)NC4=O)cc3)CC2)cc1
0.39565751624824386,"[0.38717492626666666, 0.6872166666666671, 0.2591428571428572, 0.5268666666666673]",0.23140495867768596,35,"('crossover', 'COc1ccc2nc(COc3ccc(CC4SC(=O)NC4=O)cc3)n(C)c2c1', 'COc1ccc(-c2nnc(C3(C)CCc4c(C)c(O)c(C)c(C)c4O3)o2)cc1OC')",0.39565751624824386,0.0002783160688769877,CCc1ccc(OCc2nc3ccc(OC)cc3n2C)cc1
0.3663826741418651,"[0.6674879275466664, 0.8434266666666673, 0.17814285714285716, 0.8498222222222228]",0.3225806451612903,40,"('crossover', 'COc1ccc(CN2CCN(c3c(C)c(C)c4c(c3C)CC(C)(C)O4)CC2)cc1', 'Cc1c(C)c2c(c(-c3cc(-c4ccc(O)cc4)no3)c1O)CCC(C)(C)O2')",0.3663826741418651,0.00022235279870343053,COc1ccc(N2CCN(c3c(C)c(C)c4c(c3C)CC(C)(C)O4)CC2)cc1
0.37147451958712197,"[0.13385854419999996, 0.3071, 0.11221428571428572, 0.28631111111111157]",0.2,51,"('crossover', 'CCOc1ccc(CC2CC(=O)NC2=O)cc1', 'COc1ccc(CN2CCN(c3c(C)c(C)c4c(c3C)CC(C)(C)O4)CC2)cc1')",0.37147451958712197,0.00032376208826313585,COc1ccc(CN2CCN(C)CC2)cc1
0.38870544039639165,"[0.6673666425200001, 0.823193333333334, 0.40364285714285714, 0.7849088888888895]",0.46846846846846846,53,"('crossover', 'COc1ccc2nc(COc3ccc(CC4SC(=O)NC4=O)cc3)n(C)c2c1', 'COc1ccc(-c2nnc(C3(C)CCc4c(C)c(O)c(C)c(C)c4O3)o2)cc1OC')",0.38870544039639165,0.0002863182605641189,COc1ccc2nc(CC3(C)CCc4c(C)c(O)c(C)c(C)c4O3)n(C)c2c1
0.3639938440617348,"[0.45708774235999994, 0.45799999999999996, 0.5501428571428573, 0.5041666666666671]",0.19047619047619047,61,"('crossover', 'COc1ccc(CNC(=O)c2cc(CC3SC(=O)NC3=O)ccc2OC)cc1OC', 'Cc1c(C)c2c(c(-c3cc(-c4ccc(O)cc4)no3)c1O)CCC(C)(C)O2')",0.3639938440617348,0.0002864616912295711,COc1ccc(CNC(=O)c2cc(O)ccc2OC)cc1OC
0.39640735505020086,"[0.3470536412400001, 0.5444166666666669, 0.40364285714285714, 0.4411644444444447]",0.2066115702479339,66,"('crossover', 'Cc1c(C)c2c(c(-c3cc(-c4ccc(O)cc4)no3)c1O)CCC(C)(C)O2', 'COc1ccc2nc(COc3ccc(CC4SC(=O)NC4=O)cc3)n(C)c2c1')",0.39640735505020086,0.00027751585292013495,COc1ccc2nc(COc3ccc(O)cc3)n(C)c2c1
0.3669452279567961,"[0.7074879275466665, 0.9212266666666675, 0.17814285714285716, 0.8772666666666672]",0.35772357723577236,71,"('mutation', '[*;!H0:1]-[*;!H0:2]>>[*:1]=[*:2]', 'COc1ccc(CN2CCN(c3c(C)c(C)c4c(c3C)CC(C)(C)O4)CC2)cc1')",0.3669452279567961,0.00025064717084071094,COc1ccc(CN2C=CN(c3c(C)c(C)c4c(c3C)CC(C)(C)O4)CC2)cc1
0.3665528104664687,"[0.9873157887199998, 0.8608566666666674, 0.7920714285714285, 0.9731388888888893]",0.4959349593495935,72,"('crossover', 'Cc1c(C)c2c(c(-c3cc(-c4ccc(O)cc4)no3)c1O)CCC(C)(C)O2', 'CCOc1ccc(CC2CC(=O)NC2=O)cc1')",0.3665528104664687,0.00025396185919220255,Cc1c(C)c2c(c(-c3cc(Oc4ccc(CC5CC(=O)NC5=O)cc4)no3)c1O)CCC(C)(C)O2
0.3916832552959512,"[0.37022587425333353, 0.31266666666666665, 0.523, 0.3987522222222225]",0.32710280373831774,73,"('crossover', 'COc1ccc2nc(COc3ccc(CC4SC(=O)NC4=O)cc3)n(C)c2c1', 'Cc1cc(CC2SC(=O)NC2=O)cc(C)c1N(CC1CC1)c1ccc(O)c(C(C)C)c1')",0.3916832552959512,0.0001963193492085198,COc1ccc2nc(CC3SC(=O)NC3=O)n(C)c2c1
0.3972907601147849,"[0.7204187050000002, 0.5449616666666668, 0.637357142857143, 0.7665822222222226]",0.34959349593495936,78,"('mutation', '[#8:1]>>[#7:1]', 'COc1ccc2nc(COc3ccc(CC4SC(=O)NC4=O)cc3)n(C)c2c1')",0.3972907601147849,0.0001795249503429369,COc1ccc2nc(COc3ccc(CC4SC(=N)NC4=O)cc3)n(C)c2c1
0.3923464873163598,"[0.6703823748933335, 0.5778000000000002, 0.523, 0.7237300000000004]",0.39316239316239315,80,"('crossover', 'COc1ccc2nc(COc3ccc(CC4SC(=O)NC4=O)cc3)n(C)c2c1', 'Cc1c(C)c2c(c(C)c1O)CCC(C)(c1cc(-c3ccccc3)on1)O2')",0.3923464873163598,0.00016908453757308724,COc1ccc2nc(Cc3ccc(CC4SC(=O)NC4=O)cc3)n(C)c2c1
0.3671616035765006,"[0.13029847758666666, 0.2167333333333333, 0.3957142857142857, 0.19949666666666693]",0.32323232323232326,81,"('crossover', 'CCOc1ccc(CC2CC(=O)NC2=O)cc1', 'CCOc1ccc(CC2CC(=O)NC2=O)cc1')",0.3671616035765006,0.00020272387212651695,COc1ccc(CC2CC(=O)NC2=O)cc1
0.3932070293666205,"[0.4871726972799998, 0.6933433333333339, 0.3982857142857143, 0.5814588888888892]",0.46153846153846156,83,"('crossover', 'COc1ccc2nc(COc3ccc(CC4SC(=O)NC4=O)cc3)n(C)c2c1', 'COc1ccc(CC2COc3c(C)c(O)c(C)c(O)c3C2=O)cc1')",0.3932070293666205,0.0001539848544063392,COc1ccc(CC2COc3c(C)c(O)c(C)c(C)c3C2=O)cc1
