generation,maximum fitness,mean fitness,quality diversity score,coverage,function calls,max_err,mse,mae
0,0.4188034188034188,0.3776484139840551,3.398835725856496,6.0,24,nan,nan,nan
1,0.4959349593495935,0.32689043132245305,9.806712939673591,20.0,54,0.18979578480226697,0.009939378498949998,0.07834150096955503
2,0.4959349593495935,0.33760333632785977,12.153720107802952,24.0,85,0.0768844290619492,0.0013548448739694652,0.029829889137906074
3,0.4959349593495935,0.36082423489269094,14.432969395707637,26.666666666666668,119,0.06035325912599143,0.0007543189228216556,0.02181490000865685
4,0.5648148148148148,0.3755604965300285,15.773540854261197,28.000000000000004,155,0.10644459640233528,0.001485772798539023,0.028395824872739048
5,0.5925925925925926,0.38628827185888426,17.38297223364979,30.0,190,0.0894145072494743,0.0014113536102583143,0.03049975961628931
6,0.7916666666666666,0.39784162944901774,19.096398213552852,32.0,226,0.2259879646137687,0.0027619507777485574,0.03246513238709164
7,0.8172043010752689,0.4023659261900036,20.520662235690185,34.0,263,0.09395335720842546,0.0008313065706990561,0.019792945114500065
8,0.8172043010752689,0.41543264847799066,21.602497720855514,34.66666666666667,301,0.09197921722183644,0.000716314365154123,0.018665969716832976
9,1.0,0.4299361784769242,22.35668128080006,34.66666666666667,338,0.19907594745898494,0.0016999806787496956,0.022910317631086044
10,1.0,0.4320179084896599,23.328967058441634,36.0,372,0.047896230195395746,0.0002587732740787737,0.012309517514796487
11,1.0,0.44935460656675164,24.26514875460459,36.0,409,0.05109192026032128,0.0002832173053740064,0.012330351265457192
12,1.0,0.4517949234944388,24.848720792194133,36.666666666666664,448,0.05711989250394134,0.0003421473898069742,0.012913823097943684
13,1.0,0.4585565402883362,25.22060971585849,36.666666666666664,486,0.04615825938283041,0.00020449048724447056,0.010622009420031749
14,1.0,0.46270048181148,25.4485264996314,36.666666666666664,520,0.041334231099418806,0.00027568844443621283,0.012651730391282742
15,1.0,0.4686538563086565,26.244615953284764,37.333333333333336,555,0.05857874875878122,0.0003310196169953948,0.014012852656343213
16,1.0,0.47258221717557564,26.464604161832234,37.333333333333336,590,0.0347684765116566,0.0002625733391333891,0.012937429656366786
17,1.0,0.4752139376193158,26.611980506681686,37.333333333333336,630,0.04926045712248028,0.00034213686750848995,0.014156405975691172
18,1.0,0.47575844919315535,26.6424731548167,37.333333333333336,663,0.029716711365489368,0.00025490990193652427,0.012850917579155324
19,1.0,0.46832201719477895,26.6943549801024,38.0,702,0.06851507173148752,0.00029891003582995076,0.011379251030673328
20,1.0,0.4706204330923621,26.825364686264642,38.0,735,0.05724050528377511,0.0003107421308222957,0.012639281192160774
21,1.0,0.4723950301026693,26.926516715852152,38.0,765,0.025401295311444548,0.00017598781124140227,0.011130801046360798
22,1.0,0.4745358747836473,27.048544862667896,38.0,807,0.036312163502001144,0.0002493115269762746,0.012776336626102862
23,1.0,0.47533035000679286,27.093829950387192,38.0,837,0.043597477714420685,0.0002573598605389893,0.012720514044623583
24,1.0,0.47142815055945264,27.342832732448255,38.666666666666664,876,0.06037918018264271,0.00031902952514612865,0.013408510357300823
25,1.0,0.47320374204151905,27.445817038408105,38.666666666666664,903,0.03402092007284513,0.0001443165531214442,0.008869386723270865
26,1.0,0.47159475223639835,28.295685134183902,40.0,933,0.04247936817464082,0.00016813426928877017,0.00907391985053436
