index,smiles,pedigree,descriptors,fitnesses
2,Cc1c(C)c(O)c(CCC(C)C2SC(=O)NC2=O)c(C)c1O,"('mutation', '[*:1]@[*:2]>>([*:1].[*:2])', 'Cc1c(C)c2c(c(C)c1O)CCC(C)(C1SC(=O)NC1=O)O2')","[0.29733069439999993, 0.5738933333333336, 0.6187857142857144, 0.5153922222222226]",0.3584905660377358
13,COc1ccc(CCN2CCN(c3nc(O)oc3C)CC2)cc1,"('crossover', 'COc1ccc(CCN2CCN(c3c(C)c(C)c4c(c3C)CC(C)(C)O4)CC2)cc1', 'Cc1oc(O)nc1CN(C)S(=O)(=O)c1ccc(CC2SC(=O)NC2=O)cc1')","[0.27931497453333337, 0.4269866666666666, 0.4426428571428571, 0.536175555555556]",0.2459016393442623
14,Cc1c(C)c2c(c(C)c1O)CCC(C)(Oc1ccc(CC3SC(=O)NC3=O)cc1)O2,"('crossover', 'CCOc1ccc(CC2SC(=O)NC2=O)cc1', 'Cc1c(C)c2c(c(C)c1O)CCC(C)(CC1SC(=O)NC1=O)O2')","[0.612561648181818, 0.8052933333333337, 0.6061428571428571, 0.8373722222222227]",0.8172043010752689
16,Cc1c(C)c2c(c(C)c1O)CCC(C)(CCOC(F)(F)F)O2,"('crossover', 'CCC1(C)CCc2c(COC(F)(F)F)c(O)c(C)c(C)c2O1', 'Cc1c(C)c2c(c(C)c1O)CCC(C)(CC1SC(=O)NC1=O)O2')","[0.2822553914909091, 0.8046100000000006, 0.27635714285714286, 0.4032866666666671]",0.4117647058823529
18,Cc1c(C)c2c(c(COC(F)(F)F)c1O)CCC(C)(Cc1cccc(CC3SC(=O)NC3=O)c1)O2,"('mutation', '[*:1]~[D1]>>[*:1]', 'Cc1c(C)c2c(c(COC(F)(F)F)c1O)CCC(C)(Cc1cc(CC3SC(=O)NC3=O)ccc1O)O2')","[0.8610556927030301, 0.960990000000001, 0.6061428571428571, 0.9394055555555559]",0.5689655172413793
19,Cc1c(C)c2c(c(COC(F)(F)F)c1O)CCC(C)(C(F)(F)F)O2,"('crossover', 'Cc1c(C)c2c(c(COC(F)(F)F)c1O)CCC(C)(c1cc(CC3SC(=O)NC3=O)ccc1O)O2', 'O=C1NC(=O)C(Cc2ccc(O)c(O)c2)S1')","[0.40333443543030295, 0.8652400000000005, 0.27635714285714286, 0.3537088888888892]",0.27586206896551724
21,CCOc1ccc(Cc2c(O)c(C)c(C)c3c2CCC(O)(C2SC(=O)NC2=O)O3)cc1,"('crossover', 'COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NCc1ccc(OC(F)(F)F)cc1', 'CCOc1ccc(Cc2c(O)c(C)c(C)c3c2CCC(O)(C2CC(=O)NC2=O)O3)cc1')","[0.6610310864242424, 0.6439566666666668, 0.7506428571428571, 0.8534922222222225]",0.6074766355140186
24,CN(O)S(=O)(=O)COc1ccc(CC2SC(=O)NC2=O)cc1,"('crossover', 'Cc1c2c(c(C)c(-c3ccc(S(=O)(=O)N(C)O)cc3)c1CC1SC(=O)NC1=O)OC(C)(C)C2', 'Cc1oc(-c2nc(COc3ccc(CC4SC(=O)NC4=O)cc3)c(C)o2)cc1F')","[0.36675553990303034, 0.1779666666666665, 0.8072142857142857, 0.43364444444444467]",0.44554455445544555
27,Cc1c(C)c2c(c(C)c1O)CCC(C1CC(=O)NC1=O)(C1SC(=O)NC1=O)O2,"('crossover', 'Cc1c(C)c2c(c(C3SC(=O)NC3=O)c1O)CCC(C)(C)O2', 'Cc1c(C)c2c(c(C)c1O)CCC(C1CC(=O)NC1=O)(C1CC(=O)NC1=O)O2')","[0.5427400223030301, 0.31592666666666663, 0.87, 0.6685800000000004]",0.4594594594594595
32,O=C1N=NC(=O)C(Cc2ccc(O)c(O)c2)S1,"('mutation', '[*;!H0:1]~[*:2]>>[*:1]=N-[*:2]', 'O=C1NC(=O)C(Cc2ccc(O)c(O)c2)S1')","[0.08188023556363637, 0.3924166666666668, 0.7094285714285715, 0.22348444444444465]",0.23148148148148148
33,Cc1oc(O)nc1PCCN(C)S(=O)(=O)c1ccc(CC2SC(=O)NC2=O)cc1,"('crossover', 'O=C1N=NC(=O)C(Cc2ccc(O)c(O)c2)S1', 'Cc1oc(O)nc1PCN(C)S(=O)(=O)c1ccc(CC2SC(=O)NC2=O)cc1')","[0.7031912545151515, 0.28453666666666666, 0.9272142857142858, 0.7844477777777782]",0.38333333333333336
