descriptor,expected_improvement,fingerprint,fitness,niche_index,pedigree,predicted_fitness,predicted_uncertainty,smiles,archive index
"[0.28851512956363623, 0.41352666666666665, 0.3226428571428572, 0.5696755555555562]","tensor(0.1364, dtype=torch.float64)",[0 0 0 ... 0 0 0],0.10851574723372359,13.0,"('crossover', 'COc1ccc(N2CCN(c3c(C)c(C)c4c(c3C)CC(C)(CO)O4)CC2)cc1', 'COc1ccc(CC2COc3c(OC)c(O)c(C)c(O)c3C2=O)cc1')","tensor(0.1364, dtype=torch.float64)","tensor(5.7099e-05, dtype=torch.float64)",CON1CCN(c2c(C)c(C)c3c(c2C)CC(C)(CO)O3)CC1,13
"[0.6367432640969698, 0.8092033333333336, 0.7484999999999999, 0.8709355555555558]",,[0 0 0 ... 0 0 0],0.143171423044239,,"('database', 'no reaction', 'no parent')",,,Cc1oc(-c2ccccc2)nc1CCC(=NO)c1ccc(CC2SC(=O)NC2=O)cc1,14
"[0.8243662866666667, 0.9626533333333339, 0.604, 0.9502744444444448]","tensor(0.1295, dtype=torch.float64)",[0 0 0 ... 0 0 0],0.12522384946592835,18.0,"('mutation', '[#8:1]>>[#35:1]', 'Cc1oc(-c2ccccc2)nc1CCC(=NO)c1ccc(CC2SC(=O)NC2=O)cc1')","tensor(0.1295, dtype=torch.float64)","tensor(3.4633e-05, dtype=torch.float64)",Cc1oc(-c2ccccc2)nc1CCC(=NBr)c1ccc(CC2SC(=O)NC2=O)cc1,18
"[0.6365329614060606, 0.4682666666666668, 0.9049285714285714, 0.7423655555555561]","tensor(0.1281, dtype=torch.float64)",[0 0 0 ... 0 0 0],0.13471272119614053,21.0,"('crossover', 'Cc1oc(-c2ccccc2)nc1CN(C)S(=O)(=O)c1ccc(CC2SC(=O)NC2=O)cc1', 'Cc1c(C)c2c(c(-c3cc(-c4ccc([N+](=O)[O-])cc4)no3)c1O)CCC(C)(C)O2')","tensor(0.1281, dtype=torch.float64)","tensor(6.0091e-05, dtype=torch.float64)",CN(Cc1ccc([N+](=O)[O-])cc1)S(=O)(=O)c1ccc(CC2SC(=O)NC2=O)cc1,21
"[0.318286101660606, 0.10849999999999986, 0.7412857142857143, 0.4122033333333336]","tensor(0.1277, dtype=torch.float64)",[0 0 0 ... 0 1 0],0.10980388467294655,24.0,"('crossover', 'Cc1c(C)c2c(c(-c3cc(-c4ccc([N+](=O)[O-])cc4)no3)c1O)CCC(C)(C)O2', 'Cc1oc(-c2ccccc2)nc1CN(C)S(=O)(=O)c1ccc(CC2SC(=O)NC2=O)cc1')","tensor(0.1277, dtype=torch.float64)","tensor(5.8060e-05, dtype=torch.float64)",CN(CO)S(=O)(=O)c1ccc(CC2SC(=O)NC2=O)cc1,24
"[0.5638056886787879, 0.31723666666666667, 0.9272142857142858, 0.6291255555555557]","tensor(0.1267, dtype=torch.float64)",[0 0 0 ... 0 0 0],0.11725287169699923,27.0,"('crossover', 'COc1ccc(CC2COc3c(OC)c(O)c(C)c(O)c3C2=O)cc1', 'Cc1oc(-c2ccccc2)nc1CN(C)S(=O)(=O)c1ccc(CC2SC(=O)NC2=O)cc1')","tensor(0.1267, dtype=torch.float64)","tensor(5.1622e-05, dtype=torch.float64)",Cc1oc(O)nc1CN(C)S(=O)(=O)c1ccc(CC2SC(=O)NC2=O)cc1,27
"[0.567382446981818, 0.5528066666666668, 0.4671428571428572, 0.878684444444445]","tensor(0.1373, dtype=torch.float64)",[0 0 0 ... 0 1 0],0.1750758849618607,37.0,"('crossover', 'COc1ccc(N2CCN(c3c(C)c(C)c4c(c3C)CC(C)(CO)O4)CC2)cc1', 'COc1ccc(CN2CCN(c3c(C)c(C)c4c(c3C)CC(C)(C)O4)CC2)cc1')","tensor(0.1373, dtype=torch.float64)","tensor(5.3183e-05, dtype=torch.float64)",COc1ccc(N2CCN(c3c(C)c(CO)c4c(c3C)CC(C)(CO)O4)CC2)cc1,37
"[0.5129152373575755, 0.9251100000000009, 0.17814285714285716, 0.901122222222223]","tensor(0.0129, dtype=torch.float64)",[0 0 0 ... 0 1 0],0.12727252512681228,40.0,"('crossover', 'COc1ccc(N2CCN(c3c(C)c(C)c4c(c3C)CC(C)(CO)O4)CC2)cc1', 'COc1ccc(CN2CCN(c3c(C)c(C)c4c(c3C)CC(C)(C)O4)CC2)cc1')","tensor(0.1377, dtype=torch.float64)","tensor(4.8663e-05, dtype=torch.float64)",CCC1(C)Cc2c(C)c(N3CCN(c4ccc(OC)cc4)CC3)c(C)c(C)c2O1,40
"[0.40647541633939377, 0.46912000000000004, 0.7945714285714286, 0.6033166666666668]","tensor(0.1274, dtype=torch.float64)",[0 1 0 ... 1 0 0],0.12150646885496615,44.0,"('mutation', '[*;!H0;!R:1]>>[*:1]-N', 'COc1ccc(CC2COc3c(OC)c(O)c(C)c(O)c3C2=O)cc1')","tensor(0.1274, dtype=torch.float64)","tensor(6.1270e-05, dtype=torch.float64)",COc1ccc(C(N)C2COc3c(OC)c(O)c(C)c(O)c3C2=O)cc1,44
"[0.3521184658303031, 0.9505766666666675, 0.3963571428571429, 0.6258977777777783]",,[0 0 1 ... 0 0 0],0.12824766049621616,,"('database', 'no reaction', 'no parent')",,,Cc1c(C)c2c(c(C)c1O)CCC(C)(c1cc(C3CCCC3)on1)O2,50
"[0.033761346969696966, 0.4677266666666667, 0.27635714285714286, 0.30030888888888935]","tensor(0.1348, dtype=torch.float64)",[0 0 0 ... 0 0 0],0.0865875938170929,51.0,"('crossover', 'COc1ccc(CC2COc3c(OC)c(O)c(C)c(O)c3C2=O)cc1', 'COc1ccc(N2CCN(c3c(C)c(C)c4c(c3C)CC(C)(CO)O4)CC2)cc1')","tensor(0.1348, dtype=torch.float64)","tensor(6.2753e-05, dtype=torch.float64)",COc1c(C)c(C)c2c(c1C)CC(C)(CO)O2,51
"[0.4764413418787876, 0.6238100000000002, 0.3226428571428572, 0.8142088888888894]","tensor(0., dtype=torch.float64)",[0 0 0 ... 0 1 0],0.1605396950629249,53.0,"('mutation', '[*:1]~[D4](~[*;!H0;!H1:2])(~[*:3])~[*:4]>>[*:1]-[*:2](-[*:3])-[*:4]', 'COc1ccc(N2CCN(c3c(C)c(C)c4c(c3C)CC(C)(CO)O4)CC2)cc1')","tensor(0.1345, dtype=torch.float64)","tensor(5.9369e-05, dtype=torch.float64)",COc1ccc(N2CCN(c3c(C)c(C)c4c(c3C)CC(CO)O4)CC2)cc1,53
"[0.5153362504363636, 0.3772033333333333, 0.7827142857142858, 0.6316388888888895]","tensor(0.1263, dtype=torch.float64)",[0 0 0 ... 0 0 0],0.10805162063043042,61.0,"('crossover', 'Cc1oc(-c2ccccc2)nc1CN(C)S(=O)(=O)c1ccc(CC2SC(=O)NC2=O)cc1', 'Cc1c(C)c2c(c(C)c1O)CCC(C)(c1cc(C3CCCC3)on1)O2')","tensor(0.1263, dtype=torch.float64)","tensor(5.1111e-05, dtype=torch.float64)",Cc1oc(-c2ccccc2)nc1CN(C)S(=O)(=O)CC1SC(=O)NC1=O,61
"[0.41862744894545456, 0.9534733333333342, 0.5408571428571429, 0.7102177777777782]","tensor(0., dtype=torch.float64)",[0 1 0 ... 0 0 0],0.14629582197783972,67.0,"('mutation', '[*;!H0:1]-[*;!H0:2]>>[*:1]=[*:2]', 'Cc1c(C)c2c(c(-c3cc(-c4ccc(O)cc4)on3)c1O)CCC(C)(C)O2')","tensor(0.1338, dtype=torch.float64)","tensor(6.0217e-05, dtype=torch.float64)",Cc1c(C)c2c(c(-c3cc(-c4ccc(O)cc4)on3)c1O)C=CC(C)(C)O2,67
"[0.7396260991151514, 0.7157700000000004, 0.7827142857142858, 0.8986388888888893]","tensor(0.1277, dtype=torch.float64)",[0 0 0 ... 0 0 0],0.13350861367711686,72.0,"('mutation', '[*;!H0:1]-[*;!H0:2]>>[*:1]=[*:2]', 'Cc1oc(-c2ccccc2)nc1CN(C)S(=O)(=O)c1ccc(CC2SC(=O)NC2=O)cc1')","tensor(0.1277, dtype=torch.float64)","tensor(5.8492e-05, dtype=torch.float64)",Cc1oc(-c2ccccc2)nc1CN(C)S(=O)(=O)c1ccc(C=C2SC(=O)NC2=O)cc1,72
"[0.7457341296121212, 0.6441366666666669, 0.7827142857142858, 0.8932500000000004]",,[0 0 0 ... 0 0 0],0.11899313051788904,,"('database', 'no reaction', 'no parent')",,,Cc1oc(-c2ccccc2)nc1CN(C)S(=O)(=O)c1ccc(CC2SC(=O)NC2=O)cc1,78
"[0.19157625307878776, 0.5961933333333337, 0.11221428571428572, 0.5419333333333339]","tensor(0.1330, dtype=torch.float64)",[0 0 0 ... 0 0 0],0.08931509302799588,82.0,"('crossover', 'COc1ccc(N2CCN(c3c(C)c(C)c4c(c3C)CC(C)(CO)O4)CC2)cc1', 'COc1ccc(CN2CCN(c3c(C)c(C)c4c(c3C)CC(C)(C)O4)CC2)cc1')","tensor(0.1330, dtype=torch.float64)","tensor(6.0708e-05, dtype=torch.float64)",Cc1c(C)c(N2CCN(C)CC2)c(C)c2c1OC(C)(C)C2,82
