descriptor,expected_improvement,fingerprint,fitness,niche_index,pedigree,predicted_fitness,predicted_uncertainty,smiles
"[0.33392648381818185, 0.18066666666666684, 0.46664285714285714, 0.5754155555555559]",0.30697274475458325,[0 0 0 ... 0 0 0],0.13970588235294118,0.0,"('crossover', 'COc1ccc2nc(COc3ccc([N+](=O)[O-])cc3)n(C)c2c1', 'COc1ccc(N2CCN(N3CCN(Cc4ccc(F)cc4)CC3)CC2)cc1')",0.30697274475458325,1e-10,COc1ccc(N2CCN(N3CCN(C[N+](=O)[O-])CC3)CC2)cc1
"[0.26717513210909083, 0.6735933333333337, 0.5407857142857143, 0.5697555555555559]",0.12248021091016245,[0 0 0 ... 0 0 0],0.37037037037037035,2.0,"('crossover', 'Cc1c(C)c2c(c(Cc3noc(Cc4ccc(O)c(O)c4)n3)c1O)CCC(C)(C)O2', 'Cc1c(C)c2c(c(C)c1N)CC(C)(CCCc1ccc(F)cc1)O2')",0.30568631778039146,1e-10,Cc1c(C)c2c(c(C)c1N)CC(C)(Cc1ccc(O)c(O)c1)O2
"[0.5460104870424242, 0.20023333333333337, 0.4882857142857144, 0.7745633333333337]",0.30568631742319535,[0 0 0 ... 0 0 0],0.2748091603053435,5.0,"('crossover', 'COc1ccc(N2CCN(N3CCN(C[N+](=O)[O-])CC3)CC2)cc1', 'Cc1c(C)c2c(c(C)c1O)CCC(C)(N(O)CC1SC(=O)NC1=O)O2')",0.30568631742319535,1e-10,COc1ccc(N2CCN(N3CCN(CC4SC(=O)NC4=O)CC3)CC2)cc1
"[0.012041941200000007, 0.3790166666666666, 0.2895714285714286, 0.10141444444444467]",0.30397794690140434,[0 0 0 ... 0 0 0],0.1346153846153846,7.0,"('crossover', 'Cc1ccc(CC2SC(=O)NC2=O)cc1C(=O)N(C)Br', 'Cc1c(C)c2c(c(-c3cc(-c4ccc(O)cc4)no3)c1O)CCC(C)(C)O2')",0.30397794690140434,1e-10,CN(Br)C(=O)c1ccc(O)cc1
"[0.33098679642424234, 0.4785433333333334, 0.3226428571428572, 0.6209755555555562]",0.048352055671722904,[0 0 0 ... 0 0 0],0.26666666666666666,13.0,"('crossover', 'COc1ccc(N2CCN(c3c(C)c(C)c4c(c3C)CC(C)(CCO)O4)CC2)cc1', 'Cc1c(C)c2c(c(-c3cc(-c4ccc(O)cc4)no3)c1O)CCC(C)(C)O2')",0.30697274532689534,1e-10,CON1CCN(c2c(C)c(C)c3c(c2C)CC(C)(CCO)O3)CC1
"[0.7606288662787877, 0.7336600000000004, 0.6292857142857143, 0.7655388888888893]",0.0,[0 0 0 ... 0 0 0],0.5436893203883495,14.0,"('mutation', '[*;!R:1]~[*:2]>>[*:1]S[*:2]', 'Cc1c(C)c2c(c(C)c1O)CCC(C)(N(CC1SC(=O)NC1=O)OBr)O2')",0.2973213079976235,1e-10,Cc1c(C)c2c(c(C)c1O)CCC(C)(SN(CC1SC(=O)NC1=O)OBr)O2
"[0.1396995663878787, 0.7778866666666672, 0.2797857142857143, 0.3638888888888892]",0.13901965030520533,[0 0 0 ... 0 0 0],0.18032786885245902,16.0,"('crossover', 'Cc1c(C)c2c(c(C)c1N)CC(C)(CCc1ccc(F)cc1)O2', 'Cc1ccc(-c2cc(-c3ccc([N+](=O)[O-])cc3)no2)o1')",0.305686316971872,1e-10,Cc1ccc(-c2cc(CCc3ccc(F)cc3)no2)o1
"[0.942611120060606, 0.9104600000000006, 0.6952142857142858, 0.9703388888888892]",0.07354508414775632,[0 0 0 ... 0 0 0],0.6238532110091743,18.0,"('crossover', 'Cc1c(C)c2c(c(C)c1O)CCC(C)(N(COc1ccc(F)cc1)OBr)O2', 'COc1ccc(N2CCN(N3CCN(CC4SC(=O)NC4=O)CC3)CC2)cc1')",0.2973213079239801,1e-10,Cc1c(C)c2c(c(C)c1O)CCC(C)(N(COc1ccc(C3SC(=O)NC3=O)cc1)OBr)O2
"[0.5639057322545454, 0.5136000000000002, 0.710857142857143, 0.7422411111111114]",0.36026792711311056,[0 0 0 ... 0 0 0],0.39669421487603307,21.0,"('mutation', '[*;!H0;!R;!H1:1]>>[*:1]=O', 'COc1ccc2nc(COc3ccc(CC4SC(=O)NC4=O)cc3)n(C)c2c1')",0.36026792711311056,1e-10,Cn1c(COc2ccc(CC3SC(=O)NC3=O)cc2)nc2ccc(OC=O)cc21
"[0.3002363412484847, 0.2371666666666666, 0.6695, 0.4550877777777782]",0.31196657730797495,[0 0 0 ... 0 0 0],0.32432432432432434,24.0,"('crossover', 'COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NCc1ccc(N(C)C)cc1', 'COc1ccc(N2CCN(Cc3ccc(F)cc3)CC2)cc1')",0.31196657730797495,1e-10,COCNC(=O)c1cc(CC2SC(=O)NC2=O)ccc1OC
